date,airline,flight_no,dep_time,bucket,capacity,booked,seats_available,distance_km,month
2025-04-06,Azul,AZ8879,17:25:00,16:00-20:00,186,171,15,360,2025-04
2025-04-06,Azul,AZ8509,16:20:00,16:00-20:00,186,141,45,360,2025-04
2025-04-06,Azul,AZ6256,22:30:00,20:00-06:00,144,130,14,360,2025-04
2025-04-07,LATAM,LA2383,06:00:00,06:00-10:00,186,124,62,360,2025-04
2025-04-07,LATAM,LA2131,06:10:00,06:00-10:00,186,130,56,360,2025-04
2025-04-07,LATAM,LA2452,11:50:00,10:00-12:00,136,120,16,360,2025-04
2025-04-07,LATAM,LA9985,10:50:00,10:00-12:00,144,106,38,360,2025-04
2025-04-07,LATAM,LA8975,11:15:00,10:00-12:00,186,125,61,360,2025-04
2025-04-07,LATAM,LA5940,11:35:00,10:00-12:00,162,133,29,360,2025-04
2025-04-07,LATAM,LA6733,12:40:00,12:00-16:00,162,140,22,360,2025-04
2025-04-07,LATAM,LA4241,15:55:00,12:00-16:00,162,138,24,360,2025-04
2025-04-07,LATAM,LA4964,16:50:00,16:00-20:00,144,128,16,360,2025-04
2025-04-07,LATAM,LA5616,19:15:00,16:00-20:00,186,136,50,360,2025-04
2025-04-07,GOL,GO3929,09:00:00,06:00-10:00,162,153,9,360,2025-04
2025-04-07,GOL,GO7990,07:55:00,06:00-10:00,144,110,34,360,2025-04
2025-04-07,GOL,GO1482,08:45:00,06:00-10:00,144,132,12,360,2025-04
2025-04-07,GOL,GO1050,15:05:00,12:00-16:00,144,114,30,360,2025-04
2025-04-07,GOL,GO5976,14:30:00,12:00-16:00,186,138,48,360,2025-04
2025-04-07,GOL,GO1388,13:05:00,12:00-16:00,136,112,24,360,2025-04
2025-04-07,GOL,GO2713,18:05:00,16:00-20:00,144,93,51,360,2025-04
2025-04-07,GOL,GO7803,18:50:00,16:00-20:00,186,154,32,360,2025-04
2025-04-07,GOL,GO2069,22:45:00,20:00-06:00,186,145,41,360,2025-04
2025-04-07,Azul,AZ4563,08:15:00,06:00-10:00,162,123,39,360,2025-04
2025-04-07,Azul,AZ4493,07:00:00,06:00-10:00,186,152,34,360,2025-04
2025-04-07,Azul,AZ3818,14:35:00,12:00-16:00,144,101,43,360,2025-04
2025-04-07,Azul,AZ9434,18:05:00,16:00-20:00,186,135,51,360,2025-04
2025-04-07,Azul,AZ4884,19:45:00,16:00-20:00,186,137,49,360,2025-04
2025-04-07,Azul,AZ1815,20:25:00,20:00-06:00,136,93,43,360,2025-04
2025-04-08,LATAM,LA2446,10:40:00,10:00-12:00,162,137,25,360,2025-04
2025-04-08,LATAM,LA4500,11:15:00,10:00-12:00,136,128,8,360,2025-04
2025-04-08,LATAM,LA5255,14:50:00,12:00-16:00,186,142,44,360,2025-04
2025-04-08,LATAM,LA8057,13:45:00,12:00-16:00,174,149,25,360,2025-04
2025-04-08,LATAM,LA4429,15:35:00,12:00-16:00,162,140,22,360,2025-04
2025-04-08,LATAM,LA7894,17:50:00,16:00-20:00,186,146,40,360,2025-04
2025-04-08,LATAM,LA6435,16:35:00,16:00-20:00,186,166,20,360,2025-04
2025-04-08,LATAM,LA3875,18:55:00,16:00-20:00,144,127,17,360,2025-04
2025-04-08,LATAM,LA2904,16:30:00,16:00-20:00,162,134,28,360,2025-04
2025-04-08,LATAM,LA1303,17:30:00,16:00-20:00,136,115,21,360,2025-04
2025-04-08,GOL,GO7549,06:05:00,06:00-10:00,162,120,42,360,2025-04
2025-04-08,GOL,GO1137,07:45:00,06:00-10:00,174,138,36,360,2025-04
2025-04-08,GOL,GO8786,07:20:00,06:00-10:00,186,171,15,360,2025-04
2025-04-08,GOL,GO6600,08:45:00,06:00-10:00,144,95,49,360,2025-04
2025-04-08,GOL,GO3049,12:30:00,12:00-16:00,144,96,48,360,2025-04
2025-04-08,GOL,GO5730,14:10:00,12:00-16:00,144,129,15,360,2025-04
2025-04-08,GOL,GO4994,17:30:00,16:00-20:00,162,141,21,360,2025-04
2025-04-08,GOL,GO3760,17:35:00,16:00-20:00,162,117,45,360,2025-04
2025-04-08,GOL,GO1874,16:40:00,16:00-20:00,174,118,56,360,2025-04
2025-04-08,Azul,AZ5145,11:50:00,10:00-12:00,186,155,31,360,2025-04
2025-04-08,Azul,AZ2623,11:40:00,10:00-12:00,144,135,9,360,2025-04
2025-04-08,Azul,AZ8903,11:20:00,10:00-12:00,136,95,41,360,2025-04
2025-04-08,Azul,AZ8217,14:15:00,12:00-16:00,144,103,41,360,2025-04
2025-04-08,Azul,AZ3672,13:05:00,12:00-16:00,136,109,27,360,2025-04
2025-04-08,Azul,AZ7573,17:00:00,16:00-20:00,144,96,48,360,2025-04
2025-04-09,LATAM,LA8607,09:15:00,06:00-10:00,174,134,40,360,2025-04
2025-04-09,LATAM,LA7995,10:35:00,10:00-12:00,174,147,27,360,2025-04
2025-04-09,LATAM,LA4147,10:20:00,10:00-12:00,174,114,60,360,2025-04
2025-04-09,LATAM,LA4994,15:40:00,12:00-16:00,162,124,38,360,2025-04
2025-04-09,LATAM,LA7249,15:45:00,12:00-16:00,136,121,15,360,2025-04
2025-04-09,LATAM,LA9022,15:30:00,12:00-16:00,174,125,49,360,2025-04
2025-04-09,LATAM,LA5694,15:35:00,12:00-16:00,186,128,58,360,2025-04
2025-04-09,LATAM,LA2692,16:30:00,16:00-20:00,136,94,42,360,2025-04
2025-04-09,LATAM,LA3564,20:25:00,20:00-06:00,162,137,25,360,2025-04
2025-04-09,LATAM,LA1583,20:05:00,20:00-06:00,136,115,21,360,2025-04
2025-04-09,GOL,GO1494,06:10:00,06:00-10:00,186,125,61,360,2025-04
2025-04-09,GOL,GO5427,09:40:00,06:00-10:00,162,115,47,360,2025-04
2025-04-09,GOL,GO2800,10:20:00,10:00-12:00,186,159,27,360,2025-04
2025-04-09,GOL,GO7213,13:40:00,12:00-16:00,162,120,42,360,2025-04
2025-04-09,GOL,GO1659,14:40:00,12:00-16:00,186,146,40,360,2025-04
2025-04-09,GOL,GO3133,19:40:00,16:00-20:00,144,124,20,360,2025-04
2025-04-09,GOL,GO9925,16:30:00,16:00-20:00,136,121,15,360,2025-04
2025-04-09,GOL,GO8515,22:40:00,20:00-06:00,144,116,28,360,2025-04
2025-04-09,GOL,GO8706,03:50:00,20:00-06:00,174,155,19,360,2025-04
2025-04-09,Azul,AZ3847,08:55:00,06:00-10:00,144,95,49,360,2025-04
2025-04-09,Azul,AZ6515,12:50:00,12:00-16:00,136,108,28,360,2025-04
2025-04-09,Azul,AZ2676,17:15:00,16:00-20:00,186,148,38,360,2025-04
2025-04-09,Azul,AZ3477,18:55:00,16:00-20:00,144,106,38,360,2025-04
2025-04-09,Azul,AZ6834,17:40:00,16:00-20:00,144,113,31,360,2025-04
2025-04-09,Azul,AZ8694,21:05:00,20:00-06:00,136,103,33,360,2025-04
2025-04-10,LATAM,LA3243,06:40:00,06:00-10:00,186,143,43,360,2025-04
2025-04-10,LATAM,LA1781,07:25:00,06:00-10:00,174,153,21,360,2025-04
2025-04-10,LATAM,LA7246,09:40:00,06:00-10:00,186,155,31,360,2025-04
2025-04-10,LATAM,LA7027,11:05:00,10:00-12:00,136,108,28,360,2025-04
2025-04-10,LATAM,LA3433,11:25:00,10:00-12:00,144,96,48,360,2025-04
2025-04-10,LATAM,LA1153,12:45:00,12:00-16:00,144,115,29,360,2025-04
2025-04-10,LATAM,LA9800,17:15:00,16:00-20:00,174,115,59,360,2025-04
2025-04-10,LATAM,LA5305,16:30:00,16:00-20:00,174,151,23,360,2025-04
2025-04-10,LATAM,LA7762,18:05:00,16:00-20:00,144,113,31,360,2025-04
2025-04-10,LATAM,LA1557,20:15:00,20:00-06:00,186,151,35,360,2025-04
2025-04-10,GOL,GO2160,07:30:00,06:00-10:00,186,136,50,360,2025-04
2025-04-10,GOL,GO8125,07:30:00,06:00-10:00,136,95,41,360,2025-04
2025-04-10,GOL,GO9751,07:35:00,06:00-10:00,136,118,18,360,2025-04
2025-04-10,GOL,GO5997,07:05:00,06:00-10:00,136,91,45,360,2025-04
2025-04-10,GOL,GO5428,10:00:00,10:00-12:00,186,126,60,360,2025-04
2025-04-10,GOL,GO2998,14:15:00,12:00-16:00,136,99,37,360,2025-04
2025-04-10,GOL,GO2867,12:30:00,12:00-16:00,136,110,26,360,2025-04
2025-04-10,GOL,GO3951,12:00:00,12:00-16:00,162,136,26,360,2025-04
2025-04-10,GOL,GO4374,17:45:00,16:00-20:00,162,151,11,360,2025-04
2025-04-10,Azul,AZ4056,06:00:00,06:00-10:00,186,168,18,360,2025-04
2025-04-10,Azul,AZ1812,10:55:00,10:00-12:00,162,127,35,360,2025-04
2025-04-10,Azul,AZ6378,18:45:00,16:00-20:00,162,110,52,360,2025-04
2025-04-10,Azul,AZ8934,18:40:00,16:00-20:00,162,128,34,360,2025-04
2025-04-10,Azul,AZ7343,16:05:00,16:00-20:00,136,92,44,360,2025-04
2025-04-10,Azul,AZ8893,22:10:00,20:00-06:00,174,150,24,360,2025-04
2025-04-11,LATAM,LA3824,06:15:00,06:00-10:00,174,155,19,360,2025-04
2025-04-11,LATAM,LA8135,08:35:00,06:00-10:00,186,130,56,360,2025-04
2025-04-11,LATAM,LA1581,06:50:00,06:00-10:00,136,124,12,360,2025-04
2025-04-11,LATAM,LA6458,09:35:00,06:00-10:00,186,163,23,360,2025-04
2025-04-11,LATAM,LA5713,07:50:00,06:00-10:00,144,106,38,360,2025-04
2025-04-11,LATAM,LA6152,10:20:00,10:00-12:00,136,99,37,360,2025-04
2025-04-11,LATAM,LA2972,13:50:00,12:00-16:00,144,110,34,360,2025-04
2025-04-11,LATAM,LA6457,19:55:00,16:00-20:00,162,116,46,360,2025-04
2025-04-11,LATAM,LA4614,16:25:00,16:00-20:00,186,164,22,360,2025-04
2025-04-11,LATAM,LA9917,22:00:00,20:00-06:00,174,143,31,360,2025-04
2025-04-11,GOL,GO3598,07:30:00,06:00-10:00,144,101,43,360,2025-04
2025-04-11,GOL,GO1573,11:20:00,10:00-12:00,144,111,33,360,2025-04
2025-04-11,GOL,GO8654,10:35:00,10:00-12:00,186,142,44,360,2025-04
2025-04-11,GOL,GO3672,13:55:00,12:00-16:00,136,96,40,360,2025-04
2025-04-11,GOL,GO2393,16:50:00,16:00-20:00,144,97,47,360,2025-04
2025-04-11,GOL,GO5880,18:20:00,16:00-20:00,174,155,19,360,2025-04
2025-04-11,GOL,GO3303,16:10:00,16:00-20:00,186,151,35,360,2025-04
2025-04-11,GOL,GO7024,20:20:00,20:00-06:00,174,123,51,360,2025-04
2025-04-11,GOL,GO5273,21:20:00,20:00-06:00,144,133,11,360,2025-04
2025-04-11,Azul,AZ9975,09:20:00,06:00-10:00,136,90,46,360,2025-04
2025-04-11,Azul,AZ3579,10:40:00,10:00-12:00,174,150,24,360,2025-04
2025-04-11,Azul,AZ4160,17:00:00,16:00-20:00,174,113,61,360,2025-04
2025-04-11,Azul,AZ6400,17:15:00,16:00-20:00,174,155,19,360,2025-04
2025-04-11,Azul,AZ2588,18:50:00,16:00-20:00,162,138,24,360,2025-04
2025-04-11,Azul,AZ1385,21:50:00,20:00-06:00,186,127,59,360,2025-04
2025-04-12,LATAM,LA2839,06:15:00,06:00-10:00,144,121,23,360,2025-04
2025-04-12,LATAM,LA6496,11:35:00,10:00-12:00,144,99,45,360,2025-04
2025-04-12,LATAM,LA1159,10:55:00,10:00-12:00,162,152,10,360,2025-04
2025-04-12,LATAM,LA2063,10:20:00,10:00-12:00,144,119,25,360,2025-04
2025-04-12,LATAM,LA9141,14:30:00,12:00-16:00,186,171,15,360,2025-04
2025-04-12,LATAM,LA1816,15:50:00,12:00-16:00,144,99,45,360,2025-04
2025-04-12,LATAM,LA5399,13:25:00,12:00-16:00,144,112,32,360,2025-04
2025-04-12,LATAM,LA7733,14:25:00,12:00-16:00,174,136,38,360,2025-04
2025-04-12,LATAM,LA8998,18:05:00,16:00-20:00,144,123,21,360,2025-04
2025-04-12,LATAM,LA5123,18:00:00,16:00-20:00,162,129,33,360,2025-04
2025-04-12,GOL,GO8235,07:10:00,06:00-10:00,162,119,43,360,2025-04
2025-04-12,GOL,GO7068,08:05:00,06:00-10:00,162,129,33,360,2025-04
2025-04-12,GOL,GO3336,11:10:00,10:00-12:00,136,119,17,360,2025-04
2025-04-12,GOL,GO1408,15:05:00,12:00-16:00,136,99,37,360,2025-04
2025-04-12,GOL,GO9821,13:20:00,12:00-16:00,136,93,43,360,2025-04
2025-04-12,GOL,GO9540,13:30:00,12:00-16:00,162,109,53,360,2025-04
2025-04-12,GOL,GO4941,13:00:00,12:00-16:00,144,112,32,360,2025-04
2025-04-12,GOL,GO5682,16:45:00,16:00-20:00,162,150,12,360,2025-04
2025-04-12,GOL,GO7610,16:00:00,16:00-20:00,162,136,26,360,2025-04
2025-04-12,Azul,AZ5890,07:45:00,06:00-10:00,174,164,10,360,2025-04
2025-04-12,Azul,AZ4069,06:30:00,06:00-10:00,144,95,49,360,2025-04
2025-04-12,Azul,AZ6392,08:45:00,06:00-10:00,144,109,35,360,2025-04
2025-04-12,Azul,AZ1411,11:25:00,10:00-12:00,144,101,43,360,2025-04
2025-04-12,Azul,AZ4627,18:35:00,16:00-20:00,144,98,46,360,2025-04
2025-04-12,Azul,AZ2516,18:45:00,16:00-20:00,136,119,17,360,2025-04
2025-04-13,LATAM,LA5311,08:10:00,06:00-10:00,186,157,29,360,2025-04
2025-04-13,LATAM,LA3737,09:15:00,06:00-10:00,162,152,10,360,2025-04
2025-04-13,LATAM,LA5403,10:45:00,10:00-12:00,174,142,32,360,2025-04
2025-04-13,LATAM,LA7503,11:00:00,10:00-12:00,162,119,43,360,2025-04
2025-04-13,LATAM,LA9903,18:15:00,16:00-20:00,136,95,41,360,2025-04
2025-04-13,LATAM,LA1988,17:40:00,16:00-20:00,186,136,50,360,2025-04
2025-04-13,LATAM,LA3770,16:05:00,16:00-20:00,162,111,51,360,2025-04
2025-04-13,LATAM,LA6994,19:10:00,16:00-20:00,144,96,48,360,2025-04
2025-04-13,LATAM,LA7272,18:00:00,16:00-20:00,144,132,12,360,2025-04
2025-04-13,LATAM,LA1574,16:10:00,16:00-20:00,186,155,31,360,2025-04
2025-04-13,GOL,GO4919,08:50:00,06:00-10:00,136,89,47,360,2025-04
2025-04-13,GOL,GO4089,09:30:00,06:00-10:00,174,155,19,360,2025-04
2025-04-13,GOL,GO7142,09:45:00,06:00-10:00,136,105,31,360,2025-04
2025-04-13,GOL,GO5689,06:30:00,06:00-10:00,162,136,26,360,2025-04
2025-04-13,GOL,GO1954,06:25:00,06:00-10:00,174,159,15,360,2025-04
2025-04-13,GOL,GO6342,11:45:00,10:00-12:00,186,161,25,360,2025-04
2025-04-13,GOL,GO6923,11:50:00,10:00-12:00,174,142,32,360,2025-04
2025-04-13,GOL,GO7504,17:30:00,16:00-20:00,162,123,39,360,2025-04
2025-04-13,GOL,GO5260,17:10:00,16:00-20:00,162,107,55,360,2025-04
2025-04-13,Azul,AZ7794,07:40:00,06:00-10:00,186,142,44,360,2025-04
2025-04-13,Azul,AZ5653,17:20:00,16:00-20:00,162,124,38,360,2025-04
2025-04-13,Azul,AZ7206,18:25:00,16:00-20:00,174,154,20,360,2025-04
2025-04-13,Azul,AZ1505,16:20:00,16:00-20:00,186,153,33,360,2025-04
2025-04-13,Azul,AZ2025,18:05:00,16:00-20:00,162,145,17,360,2025-04
2025-04-13,Azul,AZ1223,20:20:00,20:00-06:00,144,122,22,360,2025-04
2025-04-14,LATAM,LA1530,08:45:00,06:00-10:00,162,111,51,360,2025-04
2025-04-14,LATAM,LA2761,06:55:00,06:00-10:00,136,94,42,360,2025-04
2025-04-14,LATAM,LA6761,10:15:00,10:00-12:00,136,98,38,360,2025-04
2025-04-14,LATAM,LA9305,15:20:00,12:00-16:00,144,119,25,360,2025-04
2025-04-14,LATAM,LA6860,12:40:00,12:00-16:00,162,112,50,360,2025-04
2025-04-14,LATAM,LA4501,14:15:00,12:00-16:00,174,152,22,360,2025-04
2025-04-14,LATAM,LA4578,15:30:00,12:00-16:00,136,103,33,360,2025-04
2025-04-14,LATAM,LA6712,17:35:00,16:00-20:00,174,144,30,360,2025-04
2025-04-14,LATAM,LA4336,22:40:00,20:00-06:00,136,117,19,360,2025-04
2025-04-14,LATAM,LA1394,21:25:00,20:00-06:00,186,132,54,360,2025-04
2025-04-14,GOL,GO8732,09:30:00,06:00-10:00,186,123,63,360,2025-04
2025-04-14,GOL,GO3112,09:10:00,06:00-10:00,186,143,43,360,2025-04
2025-04-14,GOL,GO8661,07:45:00,06:00-10:00,174,123,51,360,2025-04
2025-04-14,GOL,GO8724,06:00:00,06:00-10:00,144,100,44,360,2025-04
2025-04-14,GOL,GO9391,12:05:00,12:00-16:00,162,152,10,360,2025-04
2025-04-14,GOL,GO6268,17:50:00,16:00-20:00,162,131,31,360,2025-04
2025-04-14,GOL,GO5163,18:30:00,16:00-20:00,162,105,57,360,2025-04
2025-04-14,GOL,GO7932,20:10:00,20:00-06:00,162,149,13,360,2025-04
2025-04-14,GOL,GO9669,05:15:00,20:00-06:00,144,126,18,360,2025-04
2025-04-14,Azul,AZ1084,09:00:00,06:00-10:00,186,158,28,360,2025-04
2025-04-14,Azul,AZ1501,09:45:00,06:00-10:00,186,154,32,360,2025-04
2025-04-14,Azul,AZ7645,13:45:00,12:00-16:00,174,133,41,360,2025-04
2025-04-14,Azul,AZ5827,14:00:00,12:00-16:00,162,133,29,360,2025-04
2025-04-14,Azul,AZ7071,18:50:00,16:00-20:00,174,114,60,360,2025-04
2025-04-14,Azul,AZ1143,21:50:00,20:00-06:00,186,169,17,360,2025-04
2025-04-15,LATAM,LA6900,07:55:00,06:00-10:00,162,110,52,360,2025-04
2025-04-15,LATAM,LA7651,10:50:00,10:00-12:00,162,106,56,360,2025-04
2025-04-15,LATAM,LA7507,10:35:00,10:00-12:00,174,118,56,360,2025-04
2025-04-15,LATAM,LA9654,13:20:00,12:00-16:00,186,132,54,360,2025-04
2025-04-15,LATAM,LA8504,14:15:00,12:00-16:00,162,111,51,360,2025-04
2025-04-15,LATAM,LA2366,19:15:00,16:00-20:00,136,110,26,360,2025-04
2025-04-15,LATAM,LA5719,19:00:00,16:00-20:00,186,144,42,360,2025-04
2025-04-15,LATAM,LA2315,18:10:00,16:00-20:00,136,91,45,360,2025-04
2025-04-15,LATAM,LA5226,19:05:00,16:00-20:00,144,110,34,360,2025-04
2025-04-15,LATAM,LA2826,01:30:00,20:00-06:00,162,123,39,360,2025-04
2025-04-15,GOL,GO5464,07:55:00,06:00-10:00,174,150,24,360,2025-04
2025-04-15,GOL,GO4767,07:45:00,06:00-10:00,162,148,14,360,2025-04
2025-04-15,GOL,GO8357,09:45:00,06:00-10:00,174,144,30,360,2025-04
2025-04-15,GOL,GO6625,06:10:00,06:00-10:00,144,104,40,360,2025-04
2025-04-15,GOL,GO2204,09:05:00,06:00-10:00,136,122,14,360,2025-04
2025-04-15,GOL,GO5861,07:45:00,06:00-10:00,186,125,61,360,2025-04
2025-04-15,GOL,GO5170,11:45:00,10:00-12:00,186,132,54,360,2025-04
2025-04-15,GOL,GO6097,11:45:00,10:00-12:00,162,106,56,360,2025-04
2025-04-15,GOL,GO3601,13:40:00,12:00-16:00,144,133,11,360,2025-04
